full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position
Vitalii Mykolenko,Everton,Defender,49,99.66,0.01,0.04,0.22,0.0,5.59,1.27,1.31,1.54,0.95,2.2,19,29.0,1,8
Jake O'Brien,Everton,Defender,49,94.36,0.02,0.02,0.08,0.04,5.14,1.78,1.31,1.54,0.95,2.2,19,29.0,1,8
Michael Keane,Everton,Defender,46,90.37,0.15,0.0,0.0,0.05,9.1,1.2,1.31,1.54,0.95,2.2,19,29.0,1,8
Iliman Ndiaye,Everton,Midfielder,62,96.21,0.19,0.16,0.09,0.0,1.19,2.49,1.31,1.54,0.95,2.2,19,29.0,1,8
Idrissa Gana Gueye,Everton,Midfielder,54,93.22,0.09,0.06,0.06,0.06,2.16,2.16,1.31,1.54,0.95,2.2,19,29.0,1,8
James Garner,Everton,Midfielder,52,99.88,0.07,0.17,0.25,0.0,4.3,2.87,1.31,1.54,0.95,2.2,19,29.0,1,8
Thierno Barry,Everton,Forward,57,64.84,0.42,0.05,0.17,0.0,1.41,0.11,1.31,1.54,0.95,2.2,19,29.0,1,8
Jack Grealish,Everton,Midfielder,63,91.39,0.17,0.25,0.11,0.05,1.49,1.11,1.31,1.54,0.95,2.2,19,29.0,1,8
Bernd Leno,Fulham,Goalkeeper,49,100.0,0.0,0.0,0.11,0.0,1.29,0.14,1.28,1.59,1.29,1.89,18,29.0,1,9
Antonee Robinson,Fulham,Defender,49,73.52,0.02,0.07,0.0,0.0,4.72,2.92,1.28,1.59,1.29,1.89,18,29.0,1,9
Joachim Andersen,Fulham,Defender,45,97.91,0.06,0.02,0.24,0.0,8.96,1.45,1.28,1.59,1.29,1.89,18,29.0,1,9
Calvin Bassey,Fulham,Defender,44,90.17,0.06,0.01,0.22,0.0,6.18,2.04,1.28,1.59,1.29,1.89,18,29.0,1,9
Issa Diop,Fulham,Defender,43,62.1,0.01,0.0,0.36,0.0,6.81,1.08,1.28,1.59,1.29,1.89,18,29.0,1,9
Jorge Cuenca Barreno,Fulham,Defender,43,75.24,0.0,0.05,0.47,0.0,9.47,1.55,1.28,1.59,1.29,1.89,18,29.0,1,9
Kenny Tete,Fulham,Defender,45,90.67,0.04,0.05,0.11,0.0,5.0,3.44,1.28,1.59,1.29,1.89,18,29.0,1,9
Alex Iwobi,Fulham,Midfielder,63,96.46,0.08,0.15,0.09,0.0,1.16,1.06,1.28,1.59,1.29,1.89,18,29.0,1,9
Ryan Sessegnon,Fulham,Midfielder,54,85.29,0.08,0.12,0.0,0.0,4.9,2.25,1.28,1.59,1.29,1.89,18,29.0,1,9
Harry Wilson,Fulham,Midfielder,60,88.56,0.19,0.17,0.25,0.0,2.2,0.91,1.28,1.59,1.29,1.89,18,29.0,1,9
Sander Berge,Fulham,Midfielder,49,93.69,0.04,0.06,0.15,0.0,3.0,1.81,1.28,1.59,1.29,1.89,18,29.0,1,9
Saša Lukić,Fulham,Midfielder,49,71.05,0.14,0.11,0.44,0.0,3.2,2.61,1.28,1.59,1.29,1.89,18,29.0,1,9
Raúl Jiménez Rodríguez,Fulham,Forward,61,77.33,0.51,0.09,0.24,0.0,1.81,1.37,1.28,1.59,1.29,1.89,18,29.0,1,9
Karl Darlow,Leeds,Goalkeeper,39,100.0,0.0,0.0,0.08,0.0,1.42,0.0,1.53,1.57,1.04,1.64,12,29.0,1,15
Jayden Bogle,Leeds,Defender,44,94.44,0.07,0.08,0.2,0.0,3.62,2.1,1.53,1.57,1.04,1.64,12,29.0,1,15
Pascal Struijk,Leeds,Defender,43,96.18,0.1,0.03,0.12,0.0,8.34,1.16,1.53,1.57,1.04,1.64,12,29.0,1,15
Jaka Bijol,Leeds,Defender,39,83.33,0.03,0.06,0.16,0.0,7.96,1.21,1.53,1.57,1.04,1.64,12,29.0,1,15
Gabriel Gudmundsson,Leeds,Defender,38,92.63,0.03,0.1,0.16,0.0,3.91,2.38,1.53,1.57,1.04,1.64,12,29.0,1,15
