full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence,creativity,threat,ict_index
Martin Dúbravka,Burnley,Goalkeeper,40,100.0,0.0,0.0,0.03,0.0,1.83,0.03,0.94,2.17,1.3,1.51,8,29.0,0,19,4,0.0,270,0,3.0,32.2,808.4,0.0,0.0,81.0
James Ward-Prowse,Burnley,Midfielder,56,69.01,0.02,0.31,0.0,0.0,2.41,0.96,0.94,2.17,1.3,1.51,8,29.0,0,19,7,0.0,140,0,3.0,0.2,101.2,228.2,6.0,33.5
Lesley Ugochukwu,Burnley,Midfielder,50,77.1,0.11,0.02,0.05,0.05,2.47,2.19,0.94,2.17,1.3,1.51,8,29.0,0,19,4,0.13,183,0,3.0,0.1,359.2,145.2,188.0,69.0
Florentino Ibrain Morris Luís,Burnley,Midfielder,50,77.96,0.05,0.02,0.21,0.0,4.8,4.03,0.94,2.17,1.3,1.51,8,29.0,0,19,2,0.0,71,0,3.0,0.0,343.4,173.2,44.0,56.3
Đorđe Petrović,Bournemouth,Goalkeeper,45,100.0,0.0,0.0,0.07,0.0,1.86,0.0,1.71,1.45,1.77,1.47,7,29.0,1,9,18,0.0,270,0,5.0,5.0,656.2,0.0,0.0,65.9
Marcos Senesi Barón,Bournemouth,Defender,50,98.73,0.06,0.12,0.29,0.0,10.35,1.78,1.71,1.45,1.77,1.47,7,29.0,1,9,20,0.07,270,0,5.0,17.4,866.6,296.0,165.0,133.0
Adrien Truffert,Bournemouth,Defender,46,98.89,0.01,0.08,0.1,0.0,5.54,2.73,1.71,1.45,1.77,1.47,7,29.0,1,9,18,0.04,270,0,5.0,2.5,583.0,370.8,94.0,104.8
James Hill,Bournemouth,Defender,42,71.67,0.04,0.07,0.14,0.0,9.61,1.67,1.71,1.45,1.77,1.47,7,29.0,1,9,16,0.16,270,0,5.0,7.4,375.0,84.9,74.0,53.6
Marcus Tavernier,Bournemouth,Midfielder,53,87.73,0.29,0.16,0.18,0.0,2.18,1.34,1.71,1.45,1.77,1.47,7,29.0,1,9,10,1.63,180,0,5.0,1.7,456.4,484.7,420.0,136.3
Tyler Adams,Bournemouth,Midfielder,49,89.32,0.05,0.01,0.44,0.0,4.21,2.55,1.71,1.45,1.77,1.47,7,29.0,1,9,10,0.0,216,0,5.0,0.3,304.2,95.0,105.0,50.7
Lewis Cook,Bournemouth,Midfielder,49,62.15,0.01,0.04,0.11,0.11,5.79,2.59,1.71,1.45,1.77,1.47,7,29.0,1,9,0,0.0,0,0,5.0,0.0,206.0,183.3,12.0,40.4
Alex Scott,Bournemouth,Midfielder,51,84.1,0.12,0.07,0.12,0.0,4.36,1.78,1.71,1.45,1.77,1.47,7,29.0,1,9,11,0.82,270,0,5.0,1.3,421.4,317.8,259.0,99.4
Francisco Evanilson de Lima Barbosa,Bournemouth,Forward,68,85.06,0.4,0.1,0.04,0.0,1.12,0.31,1.71,1.45,1.77,1.47,7,29.0,1,9,10,0.15,197,0,5.0,2.2,295.0,310.4,649.0,125.2
Bafodé Diakité,Bournemouth,Defender,42,78.77,0.0,0.01,0.07,0.0,6.85,1.41,1.71,1.45,1.77,1.47,7,29.0,1,9,0,0.0,0,0,5.0,0.3,267.0,54.3,22.0,34.4
Álex Jiménez Sánchez,Bournemouth,Defender,45,84.09,0.05,0.07,0.38,0.0,3.15,2.52,1.71,1.45,1.77,1.47,7,29.0,1,9,16,0.11,268,0,5.0,0.3,331.0,212.1,169.0,71.2
Dango Ouattara,Brentford,Midfielder,60,79.57,0.33,0.18,0.22,0.0,3.29,0.89,1.77,1.47,1.71,1.45,9,29.0,0,7,10,0.5,247,0,1.0,3.6,345.0,243.0,449.0,103.1
Caoimhín Kelleher,Brentford,Goalkeeper,47,100.0,0.0,0.0,0.04,0.0,1.25,0.04,1.77,1.47,1.71,1.45,9,29.0,0,7,8,0.0,180,0,1.0,12.3,643.6,20.0,0.0,66.4
Hákon Rafn Valdimarsson,Brentford,Goalkeeper,39,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,1.47,1.71,1.45,9,29.0,0,7,1,0.0,90,0,1.0,0.6,13.0,0.0,0.0,1.3
Nathan Collins,Brentford,Defender,49,92.14,0.1,0.08,0.17,0.0,9.08,1.0,1.77,1.47,1.71,1.45,9,29.0,0,7,7,0.09,135,0,1.0,2.7,661.8,116.3,258.0,103.8
Kristoffer Ajer,Brentford,Defender,44,77.83,0.06,0.05,0.11,0.0,7.29,1.96,1.77,1.47,1.71,1.45,9,29.0,0,7,8,0.02,239,0,1.0,0.3,354.4,58.1,161.0,57.5
Michael Kayode,Brentford,Defender,45,98.06,0.01,0.08,0.22,0.0,4.34,2.1,1.77,1.47,1.71,1.45,9,29.0,0,7,5,0.0,180,0,1.0,0.7,442.8,382.9,77.0,90.5
Ethan Pinnock,Brentford,Defender,42,88.89,0.0,0.0,0.38,0.0,9.87,1.58,1.77,1.47,1.71,1.45,9,29.0,0,7,0,0.0,0,0,1.0,0.1,62.8,1.1,12.0,7.6
Sepp van den Berg,Brentford,Defender,45,98.33,0.13,0.04,0.04,0.0,8.39,0.59,1.77,1.47,1.71,1.45,9,29.0,0,7,15,0.78,270,0,1.0,1.2,495.0,57.2,240.0,79.3
Kevin Schade,Brentford,Midfielder,69,89.23,0.42,0.18,0.26,0.04,1.96,1.44,1.77,1.47,1.71,1.45,9,29.0,0,7,11,1.12,206,0,1.0,1.8,472.8,325.9,669.0,146.4
Mikkel Damsgaard,Brentford,Midfielder,56,67.73,0.11,0.31,0.0,0.0,2.05,2.41,1.77,1.47,1.71,1.45,9,29.0,0,7,22,0.66,203,0,1.0,0.8,414.0,527.0,249.0,119.1
Jordan Henderson,Brentford,Midfielder,50,68.31,0.03,0.16,0.22,0.0,2.75,1.27,1.77,1.47,1.71,1.45,9,29.0,0,7,6,0.0,145,0,1.0,0.3,299.2,320.4,43.0,66.2
Vitaly Janelt,Brentford,Midfielder,49,62.47,0.05,0.26,0.51,0.0,4.74,1.72,1.77,1.47,1.71,1.45,9,29.0,0,7,1,0.07,45,0,1.0,0.2,329.0,313.6,91.0,72.5
Mathias Jensen,Brentford,Midfielder,49,60.7,0.08,0.23,0.18,0.0,2.09,1.6,1.77,1.47,1.71,1.45,9,29.0,0,7,8,0.14,270,0,1.0,0.1,273.4,394.7,153.0,82.0
Gustavo Nunes Fernandes Gomes,Brentford,Midfielder,49,88.06,0.05,0.03,0.37,0.0,0.0,0.0,1.77,1.47,1.71,1.45,9,29.0,0,7,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
Yehor Yarmoliuk,Brentford,Midfielder,50,78.12,0.06,0.05,0.31,0.0,2.64,2.32,1.77,1.47,1.71,1.45,9,29.0,0,7,2,0.0,144,0,1.0,0.1,332.0,217.7,110.0,65.9
Igor Thiago Nascimento Rodrigues,Brentford,Forward,72,95.1,0.7,0.11,0.22,0.0,2.0,0.84,1.77,1.47,1.71,1.45,9,29.0,0,7,10,0.89,270,1,1.0,34.6,788.2,275.2,936.0,199.7
Bart Verbruggen,Brighton,Goalkeeper,45,100.0,0.0,0.0,0.1,0.0,0.83,0.03,1.45,1.47,1.96,0.8,1,29.0,1,14,12,0.0,270,0,2.0,5.4,703.4,10.0,0.0,71.4
Olivier Boscagli,Brighton,Defender,42,61.25,0.0,0.01,0.41,0.0,6.36,2.05,1.45,1.47,1.96,0.8,1,29.0,1,14,1,0.0,90,0,2.0,0.1,122.0,46.4,12.0,18.1
Lewis Dunk,Brighton,Defender,45,97.94,0.03,0.02,0.34,0.0,6.45,1.13,1.45,1.47,1.96,0.8,1,29.0,1,14,7,0.05,180,0,2.0,1.0,538.0,96.1,147.0,78.3
Ferdi Kadıoğlu,Brighton,Defender,44,92.66,0.05,0.04,0.23,0.0,2.99,1.82,1.45,1.47,1.96,0.8,1,29.0,1,14,11,0.05,270,0,2.0,0.3,360.2,342.9,176.0,88.2
Jan Paul van Hecke,Brighton,Defender,44,98.93,0.09,0.03,0.26,0.0,7.09,1.46,1.45,1.47,1.96,0.8,1,29.0,1,14,15,0.0,270,0,2.0,3.9,765.2,181.3,228.0,117.8
Mitoma Kaoru,Brighton,Midfielder,61,82.75,0.21,0.19,0.19,0.0,1.34,0.77,1.45,1.47,1.96,0.8,1,29.0,1,14,5,0.97,225,0,2.0,1.9,222.2,362.3,305.0,88.6
Georginio Rutter,Brighton,Midfielder,56,75.05,0.14,0.19,0.11,0.0,1.98,1.47,1.45,1.47,1.96,0.8,1,29.0,1,14,4,0.21,90,0,2.0,0.3,263.6,291.5,368.0,92.2
Yankuba Minteh,Brighton,Midfielder,55,75.02,0.16,0.21,0.0,0.0,1.23,1.88,1.45,1.47,1.96,0.8,1,29.0,1,14,1,0.0,45,0,2.0,1.8,319.8,464.5,469.0,125.5
Jack Hinshelwood,Brighton,Midfielder,51,62.16,0.12,0.07,0.0,0.0,2.52,1.08,1.45,1.47,1.96,0.8,1,29.0,1,14,13,0.46,248,0,2.0,0.0,158.0,115.0,166.0,43.5
Matt O'Riley,Brighton,Midfielder,55,67.78,0.56,0.07,0.0,0.0,1.46,1.95,1.45,1.47,1.96,0.8,1,29.0,1,14,0,0.0,0,0,2.0,0.3,61.6,67.4,63.0,19.2
Yasin Ayari,Brighton,Midfielder,48,86.41,0.1,0.05,0.05,0.0,2.47,2.26,1.45,1.47,1.96,0.8,1,29.0,1,14,0,0.0,12,0,2.0,0.4,311.4,215.0,206.0,73.4
Carlos Baleba,Brighton,Midfielder,45,60.65,0.03,0.01,0.34,0.0,3.57,2.0,1.45,1.47,1.96,0.8,1,29.0,1,14,4,0.2,82,0,2.0,1.5,99.4,92.8,29.0,22.1
Diego Gómez Amarilla,Brighton,Midfielder,49,77.39,0.24,0.07,0.35,0.0,1.85,3.5,1.45,1.47,1.96,0.8,1,29.0,1,14,20,0.21,236,0,2.0,0.2,398.2,290.4,359.0,104.9
Mats Wieffer,Brighton,Midfielder,49,82.34,0.09,0.17,0.38,0.0,5.31,3.5,1.45,1.47,1.96,0.8,1,29.0,1,14,7,0.18,210,0,2.0,0.1,340.0,246.3,159.0,74.6
Danny Welbeck,Brighton,Forward,61,65.63,0.5,0.06,0.22,0.0,1.37,0.98,1.45,1.47,1.96,0.8,1,29.0,1,14,19,0.74,201,1,2.0,3.8,407.4,233.1,482.0,111.6
Pascal Groß,Brighton,Midfielder,55,91.67,0.07,0.17,0.22,0.0,2.4,1.63,1.45,1.47,1.96,0.8,1,29.0,1,14,10,0.11,270,0,2.0,0.1,197.2,316.3,102.0,61.5
Robert Lynch Sánchez,Chelsea,Goalkeeper,49,96.46,0.0,0.03,0.15,0.04,0.84,0.08,2.12,1.48,1.35,1.55,4,29.0,0,5,4,0.0,180,0,7.0,13.5,618.4,50.0,0.0,66.4
Filip Jörgensen,Chelsea,Goalkeeper,43,98.15,0.0,0.0,0.0,0.0,1.02,0.0,2.12,1.48,1.35,1.55,4,29.0,0,5,3,0.0,90,0,7.0,0.2,59.6,0.0,0.0,5.9
Marc Cucurella Saseta,Chelsea,Defender,60,84.62,0.06,0.16,0.24,0.05,4.65,2.04,2.12,1.48,1.35,1.55,4,29.0,0,5,1,0.0,11,0,7.0,13.7,434.0,395.2,194.0,102.3
Reece James,Chelsea,Defender,56,75.94,0.05,0.18,0.2,0.0,3.7,2.35,2.12,1.48,1.35,1.55,4,29.0,0,5,14,0.04,268,0,7.0,8.3,428.6,414.4,98.0,94.3
Trevoh Chalobah,Chelsea,Defender,56,98.02,0.05,0.02,0.11,0.04,7.76,1.24,2.12,1.48,1.35,1.55,4,29.0,0,5,5,0.0,270,0,7.0,18.7,662.2,93.8,145.0,90.0
Malo Gusto,Chelsea,Defender,49,71.58,0.1,0.15,0.11,0.05,2.79,2.3,2.12,1.48,1.35,1.55,4,29.0,0,5,12,0.0,168,0,7.0,1.9,346.8,290.4,162.0,79.9
Benoît Badiashile Mukinayi,Chelsea,Defender,44,66.39,0.0,0.0,0.38,0.0,7.85,1.34,2.12,1.48,1.35,1.55,4,29.0,0,5,0,0.0,0,0,7.0,0.0,102.8,7.9,2.0,11.4
