full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,team_xg_per_90,team_xg_against_per_90,gameweek,is_at_home,team_league_position
Morgan Gibbs-White,"""Nottham Forest""",Midfielder,73,96.14,0.27,0.1,0.0,0.0,1.12,1.67,,,
Callum Hudson-Odoi,"""Nottham Forest""",Midfielder,57,68.36,0.14,0.17,0.0,0.0,1.12,1.67,,,
Elliot Anderson,"""Nottham Forest""",Midfielder,53,100.0,0.08,0.07,0.17,0.0,1.12,1.67,,,
Ibrahim Sangaré,"""Nottham Forest""",Midfielder,49,79.56,0.12,0.07,0.17,0.0,1.12,1.67,,,
Chris Wood,"""Nottham Forest""",Forward,72,77.78,0.33,0.03,0.0,0.0,1.12,1.67,,,
Igor Jesus Maciel da Cruz,"""Nottham Forest""",Forward,58,66.72,0.24,0.08,0.0,0.0,1.12,1.67,,,
Dan Ndoye,"""Nottham Forest""",Midfielder,55,72.78,0.08,0.08,0.09,0.0,1.12,1.67,,,
John Victor Maciel Furtado,"""Nottham Forest""",Goalkeeper,40,97.78,0.0,0.0,0.2,0.0,1.12,1.67,,,
Nicolò Savona,"""Nottham Forest""",Defender,45,82.22,0.11,0.05,0.17,0.0,1.12,1.67,,,
Daniel Ballard,Sunderland,Defender,46,81.81,0.21,0.07,0.19,0.0,,,24.0,1.0,10.0
Trai Hume,Sunderland,Defender,45,90.77,0.08,0.05,0.29,0.0,,,24.0,1.0,10.0
Reinildo Mandava,Sunderland,Defender,38,92.14,0.01,0.0,0.39,0.08,,,24.0,1.0,10.0
Jenson Seelt,Sunderland,Defender,40,75.0,0.0,0.0,0.0,0.0,,,24.0,1.0,10.0
Habib Diarra,Sunderland,Midfielder,53,77.22,0.13,0.01,0.43,0.0,,,24.0,1.0,10.0
Enzo Le Fée,Sunderland,Midfielder,49,89.9,0.18,0.11,0.25,0.0,,,24.0,1.0,10.0
Noah Sadiki,Sunderland,Midfielder,49,98.95,0.02,0.02,0.28,0.0,,,24.0,1.0,10.0
Chemsdine Talbi,Sunderland,Midfielder,49,60.2,0.12,0.03,0.0,0.0,,,24.0,1.0,10.0
Granit Xhaka,Sunderland,Midfielder,52,99.24,0.02,0.14,0.18,0.0,,,24.0,1.0,10.0
Robin Roefs,Sunderland,Goalkeeper,50,100.0,0.0,0.03,0.09,0.0,,,24.0,1.0,10.0
Omar Alderete,Sunderland,Defender,41,96.49,0.07,0.02,0.22,0.0,,,24.0,1.0,10.0
Nordi Mukiele,Sunderland,Defender,45,99.79,0.05,0.1,0.19,0.0,,,24.0,1.0,10.0
Lutsharel Geertruida,Sunderland,Defender,45,62.16,0.05,0.02,0.0,0.0,,,24.0,1.0,10.0
Bertrand Traoré,Sunderland,Midfielder,55,72.78,0.09,0.14,0.14,0.0,,,24.0,1.0,10.0
Guglielmo Vicario,Spurs,Goalkeeper,48,100.0,0.0,0.0,0.04,0.0,1.21,1.35,24.0,1.0,14.0
Pedro Porro Sauceda,Spurs,Defender,52,88.5,0.03,0.13,0.25,0.0,1.21,1.35,24.0,1.0,14.0
Cristian Romero,Spurs,Defender,50,95.67,0.1,0.09,0.44,0.06,1.21,1.35,24.0,1.0,14.0
Djed Spence,Spurs,Defender,43,84.83,0.06,0.1,0.18,0.0,1.21,1.35,24.0,1.0,14.0
Destiny Udogie,Spurs,Defender,43,64.85,0.01,0.08,0.14,0.0,1.21,1.35,24.0,1.0,14.0
Micky van de Ven,Spurs,Defender,46,99.65,0.1,0.04,0.27,0.0,1.21,1.35,24.0,1.0,14.0
Mohammed Kudus,Spurs,Midfielder,64,92.22,0.13,0.15,0.17,0.0,1.21,1.35,24.0,1.0,14.0
Rodrigo Bentancur,Spurs,Midfielder,53,80.0,0.05,0.05,0.31,0.0,1.21,1.35,24.0,1.0,14.0
Yves Bissouma,Spurs,Midfielder,52,64.44,0.12,0.0,0.0,0.0,1.21,1.35,24.0,1.0,14.0
Richarlison de Andrade,Spurs,Forward,63,66.24,0.39,0.16,0.29,0.0,1.21,1.35,24.0,1.0,14.0
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,Spurs,Midfielder,55,71.83,0.08,0.04,0.35,0.0,1.21,1.35,24.0,1.0,14.0
Xavi Simons,Spurs,Midfielder,65,73.73,0.09,0.19,0.16,0.08,1.21,1.35,24.0,1.0,14.0
Randal Kolo Muani,Spurs,Forward,69,71.04,0.17,0.07,0.19,0.0,1.21,1.35,24.0,1.0,14.0
Conor Gallagher,Spurs,Midfielder,55,98.33,0.32,0.05,0.0,0.0,1.21,1.35,24.0,1.0,14.0
Alphonse Areola,West Ham,Goalkeeper,43,100.0,0.0,0.0,0.0,0.0,1.23,1.96,24.0,0.0,18.0
El Hadji Malick Diouf,West Ham,Defender,40,91.18,0.03,0.04,0.19,0.0,1.23,1.96,24.0,0.0,18.0
Maximilian Kilman,West Ham,Defender,42,85.22,0.07,0.01,0.23,0.0,1.23,1.96,24.0,0.0,18.0
Konstantinos Mavropanos,West Ham,Defender,44,87.29,0.07,0.0,0.14,0.0,1.23,1.96,24.0,0.0,18.0
Nayef Aguerd,West Ham,Defender,44,100.0,0.04,0.0,0.0,0.0,1.23,1.96,24.0,0.0,18.0
Ollie Scarles,West Ham,Defender,43,79.38,0.03,0.09,0.0,0.0,1.23,1.96,24.0,0.0,18.0
Jean-Clair Todibo,West Ham,Defender,43,94.18,0.0,0.02,0.25,0.0,1.23,1.96,24.0,0.0,18.0
Aaron Wan-Bissaka,West Ham,Defender,41,95.16,0.0,0.06,0.15,0.0,1.23,1.96,24.0,0.0,18.0
Lucas Tolentino Coelho de Lima,West Ham,Midfielder,59,95.31,0.14,0.18,0.29,0.06,1.23,1.96,24.0,0.0,18.0
Crysencio Summerville,West Ham,Midfielder,55,83.33,0.19,0.08,0.2,0.0,1.23,1.96,24.0,0.0,18.0
Freddie Potts,West Ham,Midfielder,44,63.59,0.02,0.11,0.09,0.0,1.23,1.96,24.0,0.0,18.0
Jarrod Bowen,West Ham,Forward,76,100.0,0.29,0.1,0.13,0.0,1.23,1.96,24.0,0.0,18.0
Kyle Walker-Peters,West Ham,Defender,42,64.93,0.11,0.02,0.19,0.0,1.23,1.96,24.0,0.0,18.0
Mads Hermansen,West Ham,Goalkeeper,42,100.0,0.0,0.0,0.0,0.0,1.23,1.96,24.0,0.0,18.0
Mateus Gonçalo Espanha Fernandes,West Ham,Midfielder,55,89.79,0.04,0.07,0.11,0.0,1.23,1.96,24.0,0.0,18.0
Pablo Felipe Pereira de Jesus,West Ham,Forward,55,69.26,0.28,0.06,0.0,0.0,1.23,1.96,24.0,0.0,18.0
Valentín Castellanos,West Ham,Forward,55,95.56,0.71,0.08,0.7,0.0,1.23,1.96,24.0,0.0,18.0
Sam Johnstone,Wolves,Goalkeeper,44,100.0,0.0,0.0,0.0,0.0,,,24.0,1.0,20.0
José Malheiro de Sá,Wolves,Goalkeeper,42,100.0,0.0,0.01,0.09,0.0,,,24.0,1.0,20.0
Emmanuel Agbadou,Wolves,Defender,42,85.73,0.04,0.01,0.09,0.09,,,24.0,1.0,20.0
Matt Doherty,Wolves,Defender,44,85.97,0.01,0.03,0.58,0.0,,,24.0,1.0,20.0
Hugo Bueno López,Wolves,Defender,43,74.17,0.04,0.07,0.07,0.0,,,24.0,1.0,20.0
Yerson Mosquera Valdelamar,Wolves,Defender,43,84.37,0.11,0.06,0.68,0.0,,,24.0,1.0,20.0
Santiago Ignacio Bueno,Wolves,Defender,44,95.16,0.06,0.01,0.15,0.0,,,24.0,1.0,20.0
Toti Gomes,Wolves,Defender,42,83.16,0.0,0.01,0.18,0.09,,,24.0,1.0,20.0
Ki-Jana Hoever,Wolves,Defender,38,60.69,0.0,0.07,0.0,0.0,,,24.0,1.0,20.0
Hwang Hee-chan,Wolves,Midfielder,56,65.56,0.2,0.08,0.25,0.0,,,24.0,1.0,20.0
André Trindade da Costa Neto,Wolves,Midfielder,53,80.91,0.01,0.05,0.39,0.0,,,24.0,1.0,20.0
Marshall Munetsi,Wolves,Midfielder,53,73.76,0.19,0.04,0.21,0.0,,,24.0,1.0,20.0
Jørgen Strand Larsen,Wolves,Forward,61,73.54,0.2,0.03,0.13,0.0,,,24.0,1.0,20.0
Jackson Tchatchoua,Wolves,Defender,44,61.52,0.0,0.11,0.15,0.0,,,24.0,1.0,20.0
Ladislav Krejcí,Wolves,Defender,45,97.47,0.08,0.05,0.11,0.0,,,24.0,1.0,20.0
