full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,team_xg_per_90,team_xg_against_per_90,gameweek,is_at_home,team_league_position
Adrien Truffert,Bournemouth,Defender,45,98.6,0.02,0.05,0.13,0.0,1.75,1.43,24.0,0.0,13.0
Marcus Tavernier,Bournemouth,Midfielder,54,90.51,0.24,0.14,0.15,0.0,1.75,1.43,24.0,0.0,13.0
Tyler Adams,Bournemouth,Midfielder,49,90.81,0.06,0.01,0.37,0.0,1.75,1.43,24.0,0.0,13.0
Lewis Cook,Bournemouth,Midfielder,49,60.37,0.01,0.02,0.14,0.14,1.75,1.43,24.0,0.0,13.0
Alex Scott,Bournemouth,Midfielder,50,79.95,0.08,0.06,0.11,0.0,1.75,1.43,24.0,0.0,13.0
Francisco Evanilson de Lima Barbosa,Bournemouth,Forward,70,86.14,0.44,0.1,0.06,0.0,1.75,1.43,24.0,0.0,13.0
Bafodé Diakité,Bournemouth,Defender,42,83.33,0.0,0.01,0.07,0.0,1.75,1.43,24.0,0.0,13.0
Álex Jiménez Sánchez,Bournemouth,Defender,45,79.3,0.06,0.06,0.33,0.0,1.75,1.43,24.0,0.0,13.0
Dango Ouattara,Brentford,Midfielder,58,75.1,0.4,0.16,0.23,0.0,1.86,1.39,24.0,0.0,8.0
Caoimhín Kelleher,Brentford,Goalkeeper,46,100.0,0.0,0.0,0.04,0.0,1.86,1.39,24.0,0.0,8.0
Nathan Collins,Brentford,Defender,50,96.28,0.1,0.08,0.18,0.0,1.86,1.39,24.0,0.0,8.0
Kristoffer Ajer,Brentford,Defender,44,71.44,0.08,0.06,0.08,0.0,1.86,1.39,24.0,0.0,8.0
Michael Kayode,Brentford,Defender,45,97.63,0.01,0.09,0.22,0.0,1.86,1.39,24.0,0.0,8.0
Ethan Pinnock,Brentford,Defender,42,88.89,0.0,0.0,0.38,0.0,1.86,1.39,24.0,0.0,8.0
